Designator,Mid X,Mid Y,Rotation,Layer
C1,158.275,-74.25,0.0,top
C2,161.275,-74.25,0.0,top
C3,159.05,-75.75,0.0,top
C4,163.0,-70.025,90.0,top
C5,157.625,-63.725,90.0,top
FID1,175.25,-83.75,0.0,top
FID2,175.25,-54.75,0.0,top
FID3,156.0,-53.75,0.0,top
J1,153.5,-62.75,180.0,top
J2,153.5,-82.87,180.0,top
J3,166.25,-74.79,90.0,top
R1,155.5,-66.925,270.0,top
R2,159.575,-63.675,270.0,top
U1,159.25,-69.25,90.0,top
